Date,carbon.Price,carbon.Open,carbon.High,carbon.Low,carbon.Vol,clean,oil.Price,oil.Open,oil.High,oil.Low,oil.Vol,wtioil.Price,wtioil.Open,wtioil.High,wtioil.Low,wtioil.Vol,ttfngas.Price,ttfngas.Open,ttfngas.High,ttfngas.Low,ttfngas.Vol,ngas.Price,ngas.Open,ngas.High,ngas.Low,ngas.Vol,coal.Price,coal.Open,coal.High,coal.Low,coal.Vol,newcoal.Price,newcoal.Open,newcoal.High,newcoal.Low,newcoal.Vol,stoxx.Price,stoxx.Open,stoxx.High,stoxx.Low,stoxx.Vol,cac.Price,cac.Open,cac.High,cac.Low,cac.Vol,dax.Price,dax.Open,dax.High,dax.Low,dax.Vol,mib.Price,mib.Open,mib.High,mib.Low,mib.Vol,ibex.Price,ibex.Open,ibex.High,ibex.Low,ibex.Vol,ftse.Price,ftse.Open,ftse.High,ftse.Low,ftse.Vol,n4j24.Price,n8j24.Price,ygj24.Price,zgh24.Price,ruh24.Price,rvh24.Price,x1h24.Price,x2h24.Price,yih24.Price,zih24.Price,zuj24.Price,zvj24.Price,inkj24.Price,jntj24.Price,jzj24.Price,lvh24.Price,dsh24.Price,hoj24.Price,rbk24.Price,lfk24.Price
2022-07-01,85.58,89.32,90.35,85.01,18.4,1227.42,111.63,109.49,112.45,108.03,235.42,108.43,106.01,109.34,104.56,305.34,147.784,147.0,153.25,143.5,28.4,240.94,249.75,253.0,231.0,4.0,369.0,374.0,374.0,367.0,0.02,388.0,388.0,388.0,388.0,0.01,407.13,405.89,409.49,402.6,179090.0,5931.06,5875.6,5975.83,5857.34,72810.0,12813.03,12627.66,12894.38,12623.23,80290.0,21354.65,21067.45,21547.37,21023.94,376540.0,8176.1,8043.0,8206.9,8027.3,150840.0,7168.65,7169.28,7214.82,7101.38,676870.0,145.2,176.13,,,359.59,626.11,274.89,333.55,,,149.08,171.43,21.757,21.229,74.217,193.4,82.013,2.8771,2.5603,852.0
2022-07-04,84.55,85.58,87.17,83.5,14.14,1227.87,113.5,111.65,114.0,110.4,100.59,110.4,108.17,110.77,107.25,,162.94,151.25,167.75,146.49,33.55,282.24,240.0,292.53,240.0,3.39,376.0,372.0,375.0,372.0,0.09,396.45,396.45,396.45,396.45,0.0,409.31,408.93,411.44,408.87,129210.0,5954.65,5983.98,6002.07,5943.91,54440.0,12773.38,12904.09,12919.7,12741.63,52500.0,21343.93,21502.87,21565.92,21318.44,311480.0,8161.8,8226.2,8240.4,8161.8,117450.0,7232.65,7168.65,7258.46,7168.65,416520.0,153.14,190.76,,,388.75,653.76,292.6,367.41,,,149.22,169.79,,,80.927,201.3,83.334,,,869.25
2022-07-05,83.19,84.99,84.99,82.52,14.86,1214.22,102.77,113.54,114.75,101.1,428.84,99.5,108.8,111.45,97.43,594.22,165.073,167.5,176.01,161.05,36.64,290.43,302.0,317.52,280.0,2.58,380.0,385.0,385.0,380.0,0.05,397.6,397.6,397.6,397.6,,400.68,410.19,411.51,400.5,238390.0,5794.96,5979.2,5981.51,5786.5,104290.0,12401.2,12851.29,12870.24,12390.95,90490.0,20705.06,21479.42,21479.42,20698.58,416460.0,7959.4,8191.2,8209.5,7959.4,193250.0,7025.47,7232.65,7260.3,7016.78,1100000.0,149.73,182.0,,,393.36,665.69,309.0,373.02,,,157.16,187.89,24.187,24.053,83.007,195.35,75.972,2.7566,2.3875,811.25
2022-07-06,83.22,82.98,84.64,82.7,13.94,1212.28,100.69,104.88,105.85,98.5,350.3,98.53,100.36,102.14,95.1,444.11,170.999,155.0,175.5,152.0,30.92,276.37,290.43,290.01,238.28,5.59,384.75,377.0,377.0,377.0,0.06,399.7,399.7,399.7,399.7,,407.34,402.2,409.24,402.2,225180.0,5912.38,5872.27,5927.5,5846.1,89620.0,12594.52,12587.55,12668.68,12509.22,78680.0,20920.99,20996.82,21053.53,20742.77,383260.0,7948.6,8040.5,8061.7,7939.7,249440.0,7107.77,7025.47,7198.72,7025.35,929870.0,158.2,189.28,,,406.19,646.37,271.92,366.0,,,171.42,209.71,24.827,24.421,85.178,203.0,75.434,2.6753,2.3292,788.75
2022-07-07,84.92,83.5,85.46,82.76,15.02,1261.53,104.65,100.14,106.35,98.5,279.66,102.73,98.22,104.48,96.57,379.86,183.183,176.885,187.265,172.0,46.61,298.32,300.0,328.5,296.0,11.26,385.0,384.6,387.0,384.6,0.03,410.0,410.0,410.0,410.0,0.02,415.01,409.42,415.39,409.42,235420.0,6006.7,5985.09,6024.31,5967.98,94860.0,12843.22,12757.63,12867.71,12693.65,79390.0,21558.07,21190.46,21581.0,21144.35,451760.0,8122.5,8026.6,8128.9,7998.6,200240.0,7189.08,7107.77,7213.05,7107.77,1090000.0,169.65,205.5,,,423.39,683.87,287.51,387.44,,,192.37,230.43,26.965,26.507,92.307,211.0,77.411,2.8033,2.4244,820.75
2022-07-08,82.79,84.92,85.0,82.6,13.96,1278.41,107.02,104.65,107.47,103.67,238.35,104.79,102.22,105.24,101.51,327.46,175.212,180.0,185.75,164.15,44.49,255.52,299.8,303.94,225.94,3.17,388.9,388.9,388.9,388.9,,413.75,411.0,412.0,411.0,0.02,417.12,414.86,417.5,412.59,168000.0,6033.13,6007.64,6053.17,5952.89,76860.0,13015.23,12814.1,13019.13,12766.8,75190.0,21774.18,21540.63,21838.99,21476.32,353310.0,8100.3,8099.0,8137.9,8034.1,147630.0,7196.24,7189.08,7210.58,7129.15,604180.0,166.67,197.36,,,429.57,688.78,286.03,388.77,,,189.2,233.47,26.056,26.294,89.268,209.5,78.868,2.8262,2.4705,834.75
2022-07-11,84.36,82.77,84.62,82.7,11.9,1249.25,107.1,107.0,107.7,103.64,194.66,104.09,104.79,105.05,100.89,348.57,164.52,159.0,174.775,153.5,32.65,222.24,226.51,250.01,216.0,4.06,390.0,390.0,390.0,390.0,0.03,419.0,419.0,419.0,419.0,0.0,415.02,415.01,416.19,410.83,164870.0,5996.3,5923.83,6004.52,5909.73,59500.0,12832.44,12783.09,12934.87,12774.23,55460.0,21567.7,21454.5,21771.82,21433.66,367310.0,8065.2,7994.4,8099.8,7980.4,130230.0,7196.59,7196.24,7204.06,7097.42,674300.0,160.97,194.75,,,433.41,718.97,283.14,391.15,,,187.31,234.2,26.156,25.879,90.363,213.6,80.16,2.8656,2.4876,845.5
2022-07-12,85.65,84.6,86.06,83.33,16.96,1225.4,99.49,106.25,106.56,98.9,275.62,95.84,103.46,103.49,95.35,398.55,172.609,169.0,177.445,168.0,29.03,244.02,222.24,281.9,222.24,3.83,397.5,400.0,400.0,396.0,0.03,426.0,426.0,426.0,426.0,0.01,417.04,414.46,417.14,411.36,227740.0,6044.2,5960.09,6053.33,5930.98,71120.0,12905.48,12751.3,12905.48,12655.06,65200.0,21485.7,21414.24,21511.14,21285.38,452470.0,8014.8,8029.0,8071.3,7893.1,365800.0,7209.86,7196.59,7216.9,7143.31,851980.0,164.64,195.93,,,446.15,736.84,284.77,394.72,,,193.27,243.58,26.861,26.243,92.866,218.9,76.385,2.7479,2.3583,820.5
2022-07-13,83.86,86.01,86.57,83.56,14.3,1233.09,99.57,98.5,101.21,98.28,247.47,96.3,95.89,97.96,93.67,347.19,180.505,178.0,185.0,174.0,27.9,269.73,280.0,300.01,263.21,2.95,395.0,395.0,395.0,395.0,0.01,430.0,432.0,432.0,432.0,0.01,412.81,416.91,416.91,409.3,188700.0,6000.24,6015.53,6025.73,5922.94,70800.0,12756.32,12800.87,12851.9,12625.22,63030.0,21286.33,21404.62,21431.42,21038.8,362060.0,7944.9,7991.3,8002.6,7891.5,198610.0,7156.37,7209.86,7209.86,7104.06,805870.0,167.72,199.13,,,451.16,754.61,282.44,395.3,,,196.45,244.75,27.229,26.906,93.542,213.25,77.025,2.774,2.377,824.5
2022-07-14,83.97,84.1,84.79,83.26,14.52,1222.62,99.1,99.43,100.39,94.5,318.79,95.78,96.57,97.0,90.56,387.53,175.033,177.7,181.99,173.345,27.11,236.82,270.0,270.0,234.48,3.7,392.6,393.45,393.45,393.45,0.0,416.35,415.0,415.0,415.0,0.01,406.5,412.56,412.66,404.78,223590.0,5915.41,5979.99,5997.31,5874.68,72940.0,12519.66,12759.29,12788.01,12434.29,72610.0,20554.33,21142.58,21168.98,20420.57,569350.0,7804.3,7903.8,7922.2,7764.9,197270.0,7039.81,7156.37,7157.62,7007.09,848220.0,167.87,199.43,,,442.95,750.78,271.79,383.79,,,195.54,240.26,25.901,26.091,90.123,208.65,75.536,2.7632,2.3455,813.0
